#p	 replica	 essentials	 correct	 fp	 fn
0.78	9	479	0.7375478927203065	0.18773946360153257	0.07471264367816093
0.8	9	479	0.7337164750957854	0.1896551724137931	0.07662835249042145
0.8200000000000001	9	481	0.7413793103448276	0.18773946360153257	0.07088122605363985
0.84	9	483	0.7490421455938697	0.18582375478927204	0.06513409961685823
0.86	9	489	0.7605363984674329	0.18582375478927204	0.05363984674329502
0.88	9	493	0.7681992337164751	0.18582375478927204	0.04597701149425287
0.9	9	489	0.7605363984674329	0.18582375478927204	0.05363984674329502
0.92	9	489	0.764367816091954	0.1839080459770115	0.05172413793103448
0.9400000000000001	9	490	0.7662835249042146	0.1839080459770115	0.04980842911877394
0.96	9	491	0.7605363984674329	0.18773946360153257	0.05172413793103448
0.98	9	490	0.7547892720306514	0.1896551724137931	0.05555555555555555
1.0	9	488	0.7509578544061303	0.1896551724137931	0.05938697318007663
0.0	6	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	6	232	0.5517241379310345	0.044061302681992334	0.4042145593869732
0.04	6	265	0.5919540229885057	0.05555555555555555	0.3524904214559387
0.06	6	286	0.6168582375478927	0.06321839080459771	0.31992337164750956
0.08	6	288	0.5977011494252874	0.07471264367816093	0.3275862068965517
0.1	6	301	0.5957854406130269	0.08812260536398467	0.3160919540229885
0.12	6	329	0.6187739463601533	0.10344827586206896	0.2777777777777778
0.14	6	344	0.6283524904214559	0.11302681992337164	0.25862068965517243
0.16	6	351	0.6187739463601533	0.12452107279693486	0.2567049808429119
0.18	6	366	0.6475095785440613	0.12452107279693486	0.22796934865900384
0.2	6	377	0.6494252873563219	0.13409961685823754	0.2164750957854406
0.22	6	384	0.632183908045977	0.14942528735632185	0.21839080459770116
0.24	6	393	0.6532567049808429	0.1475095785440613	0.19923371647509577
0.26	6	399	0.6609195402298851	0.14942528735632185	0.1896551724137931
0.28	6	404	0.6628352490421456	0.1532567049808429	0.1839080459770115
0.3	6	411	0.6724137931034483	0.15517241379310345	0.1724137931034483
0.32	6	415	0.6724137931034483	0.15900383141762453	0.1685823754789272
0.34	6	424	0.6973180076628352	0.15517241379310345	0.1475095785440613
0.36	6	437	0.7183908045977011	0.15708812260536398	0.12452107279693486
0.38	6	445	0.7222222222222222	0.16283524904214558	0.11494252873563218
0.4	6	445	0.7260536398467433	0.16091954022988506	0.11302681992337164
0.42	6	452	0.7318007662835249	0.16475095785440613	0.10344827586206896
0.44	6	452	0.735632183908046	0.16283524904214558	0.10153256704980843
0.46	6	460	0.735632183908046	0.17049808429118773	0.09386973180076628
0.48	6	462	0.7432950191570882	0.1685823754789272	0.08812260536398467
0.5	6	470	0.7471264367816092	0.1743295019157088	0.07854406130268199
0.52	6	462	0.735632183908046	0.1724137931034483	0.09195402298850575
0.54	6	465	0.7413793103448276	0.1724137931034483	0.08620689655172414
0.56	6	471	0.7413793103448276	0.1781609195402299	0.08045977011494253
0.58	6	467	0.7337164750957854	0.1781609195402299	0.08812260536398467
0.6	6	468	0.7318007662835249	0.18007662835249041	0.08812260536398467
0.62	6	468	0.7279693486590039	0.18199233716475097	0.09003831417624521
0.64	6	469	0.7298850574712644	0.18199233716475097	0.08812260536398467
0.66	6	474	0.735632183908046	0.1839080459770115	0.08045977011494253
0.68	6	480	0.7394636015325671	0.18773946360153257	0.07279693486590039
